IACO,IATA,NOMBRE,CIUDAD INGLES,CIUDAD ESPANOL,PAIS INGLES,PAIS ESPAÑOL,GRADOS LONGITUD,GRADOS LATITUD,ALTITUD,NULL
AYGA,GKA,GOROKA,GOROKA,Goroka,PAPUA NEW GUINEA,PAPÚA NUEVA GUINEA,145.392,-6.082,5282,1609.95
AYLA,LAE,,LAE,LAE,PAPUA NEW GUINEA,PAPÚA NUEVA GUINEA,0.0,0.0,0,0.0
AYMD,MAG,MADANG,MADANG,Madang,PAPUA NEW GUINEA,PAPÚA NUEVA GUINEA,145.789,-5.207,20,6.1
AYMH,HGU,MOUNT HAGEN,MOUNT HAGEN,Mount Hagen,PAPUA NEW GUINEA,PAPÚA NUEVA GUINEA,144.296,-5.826,5388,1642.26
AYNZ,LAE,NADZAB,NADZAB,Nadzab,PAPUA NEW GUINEA,PAPÚA NUEVA GUINEA,146.726,-6.57,239,72.85
AYPY,POM,PORT MORESBY JACKSONS INTERNATIONAL,PORT MORESBY,Port Moresby,PAPUA NEW GUINEA,PAPÚA NUEVA GUINEA,147.22,-9.443,146,44.5
AYRB,RAB,,RABAUL,Rabaul,PAPUA NEW GUINEA,PAPÚA NUEVA GUINEA,0.0,0.0,0,0.0
AYWK,WWK,WEWAK INTERNATIONAL,WEWAK,Wewak,PAPUA NEW GUINEA,PAPÚA NUEVA GUINEA,143.669,-3.584,19,5.79
BGAM,,,ANGMAGSSALIK,Angmagssalik,GREENLAND,GROENLANDIA,0.0,0.0,0,0.0
BGAS,,,ANGISSOQ,ANGISSOQ,GREENLAND,GROENLANDIA,0.0,0.0,0,0.0
BGAT,,,APUTITEQ,APUTITEQ,GREENLAND,GROENLANDIA,0.0,0.0,0,0.0
BGBW,UAK,NARSARSUAQ,NARSSARSSUAQ,NARSSARSSUAQ,GREENLAND,GROENLANDIA,45.427,61.161,112,34.14
BGCH,JCH,,CHRISTIANSHAAB,Christianshaab,GREENLAND,GROENLANDIA,0.0,0.0,0,0.0
BGCO,,NERLERIT INAAT CONSTABLE PYNT,NERLERIT INAAT,NERLERIT INAAT,GREENLAND,GROENLANDIA,22.646,70.739,45,13.72
BGDB,,,DANEBORG,DANEBORG,GREENLAND,GROENLANDIA,0.0,0.0,0,0.0
BGDH,,,DANMARKSHAVN,Danmarkshavn,GREENLAND,GROENLANDIA,0.0,0.0,0,0.0
BGDU,,,DUNDAS,DUNDAS,GREENLAND,GROENLANDIA,0.0,0.0,0,0.0
BGEM,JEG,,EGEDESMINDE,Egedesminde,GREENLAND,GROENLANDIA,0.0,0.0,0,0.0
BGFD,,,FREDERIKSDAL,Frederiksdal,GREENLAND,GROENLANDIA,0.0,0.0,0,0.0
BGFH,JFR,,FREDERIKSHAAB,Frederikshaab,GREENLAND,GROENLANDIA,0.0,0.0,0,0.0
BGGD,JGR,,GRONNEDAL,Grønnedal,GREENLAND,GROENLANDIA,0.0,0.0,0,0.0
BGGH,GOH,NUUK,GODTHAAB,Godthaab,GREENLAND,GROENLANDIA,51.678,64.191,283,86.26
BGGN,JGO,,GODHAVN,Godhavn,GREENLAND,GROENLANDIA,0.0,0.0,0,0.0
BGHB,JHS,,HOLSTEINSBORG,HOLSTEINSBORG,GREENLAND,GROENLANDIA,0.0,0.0,0,0.0
BGIS,,,ISORTOQ,Isortoq,GREENLAND,GROENLANDIA,0.0,0.0,0,0.0
BGIT,,,IVIGTUT,IVIGTUT,GREENLAND,GROENLANDIA,0.0,0.0,0,0.0
BGJH,JJU,,JULIANEHAAB,Julianehaab,GREENLAND,GROENLANDIA,0.0,0.0,0,0.0
BGJN,JAV,JACOBSHAVN,JAKOBSHAVN,Jakobshavn,GREENLAND,GROENLANDIA,51.067,69.233,110,33.53
BGKD,,,KAP DAN,CAP DAN,GREENLAND,GROENLANDIA,0.0,0.0,0,0.0
BGKK,KUS,KULUSUK,KULUSUK,Kulusuk,GREENLAND,GROENLANDIA,37.15,65.583,110,33.53
BGKM,,,KUNGMIUT,KUNGMIUT,GREENLAND,GROENLANDIA,0.0,0.0,0,0.0
BGKT,,,KAP TOBIN,CAP TOBIN,GREENLAND,GROENLANDIA,0.0,0.0,0,0.0
BGMV,,,MESTERS VIG,Mesters Vig,GREENLAND,GROENLANDIA,0.0,0.0,0,0.0
BGNN,JNN,,NANORTALIK,Nanortalik,GREENLAND,GROENLANDIA,0.0,0.0,0,0.0
BGNS,JNS,,NARSSAQ,NARSSAQ,GREENLAND,GROENLANDIA,0.0,0.0,0,0.0
BGOS,,,ORSSUIORSSUAQ,ORSSUIORSSUAQ,GREENLAND,GROENLANDIA,0.0,0.0,0,0.0
BGPC,,,PRINS CHRISTIAN SUND,CHRISTIAN PRINS SUND,GREENLAND,GROENLANDIA,0.0,0.0,0,0.0
BGRS,,,RAVNS STORO,RAVNS Storo,GREENLAND,GROENLANDIA,0.0,0.0,0,0.0
BGSC,,,SCORESBYSUND,Scoresbysund,GREENLAND,GROENLANDIA,0.0,0.0,0,0.0
BGSF,SFJ,KANGERLUSSUAQ SONDRE STROMFJORD,SONDRESTROM,Sondrestrom,GREENLAND,GROENLANDIA,50.689,67.017,165,50.29
BGSG,,,SERMILIGAO,SERMILIGAO,GREENLAND,GROENLANDIA,0.0,0.0,0,0.0
BGST,JSU,,SUKKERTOPPEN,Sukkertoppen,GREENLAND,GROENLANDIA,0.0,0.0,0,0.0
